"GEOID","NAME","location","year_built.x","number_of_bathrooms.x","number_of_bedrooms.x","total_livable_area.x","sale_price.x","log_sale_price.x","BACH_PROP","WHITE_PROP","Pov_Prop","Vacancy_Rate","MEDHHINCE","near_transit","Dist_Homicide","Dist_BurgRob","Dist_Comcor","parks_400","parks_800","dist_centercity","redlining_grade","industrial_knn31","Name","crime_score","vacant_and_BurgRob","distcentercity_transit","education_and_pov"
"421010032005","Block Group 5; Census Tract 32; Philadelphia County; Pennsylvania","1755 S TAYLOR ST",1925,1,3,1216,150000,11.9183905730784,20.2003338898164,29.2153589315526,9.34891485809683,33.6309523809524,89063,0,1536.43772008436,1421.34498660627,1023.17361012344,1,5,10177.0468200094,"4",229.278792424368,"Point Breeze",116,47801.185561461,0,188.851201641021
"421010178004","Block Group 4; Census Tract 178; Philadelphia County; Pennsylvania","2063 E CAMBRIA ST",1920,1,3,1080,20000,9.90348755253613,5.10783200908059,11.8047673098751,20.4313280363224,17.5349428208386,83538,0,1548.93484597738,564.451343275877,1171.6528324427,1,5,18770.5490473671,"4",490.91280292335,"Richmond",184,9897.62202948804,0,104.359791331953
"421010011013","Block Group 3; Census Tract 11.01; Philadelphia County; Pennsylvania","413 S JESSUP ST",1965,2,3,1302,770000,13.5541457938299,26.2580054894785,50.6861848124428,17.7493138151876,0,46783,0,4498.35513054187,1232.16836254755,197.617056060656,6,13,3165.8143139915,"4",1007.3712513235,"Washington Square West",113,0,0,466.061579593673
"421010265004","Block Group 4; Census Tract 265; Philadelphia County; Pennsylvania","2014 68TH AVE",1925,1,3,1116,83000,11.3265958867787,3.86847195357834,0,30.5609284332689,0,45616,1,2039.39303474821,775.813885719458,1258.13399012466,0,3,38361.9110791517,"2",408.811351996947,"West Oak Lane",162,0,38361.9110791517,118.224094519416
"421010363012","Block Group 2; Census Tract 363.01; Philadelphia County; Pennsylvania","12639 BISCAYNE DR",1955,1,3,1224,228000,12.3371009079366,22.367898291617,64.9980135081446,0.993245927691696,1.13895216400911,126026,0,20170.9546510324,2622.52376173584,1876.69910207515,1,2,75655.0545315152,"0",4570.9663653216,"Parkwood Manor",88,2986.92911359434,0,22.2168238891706
"421010210005","Block Group 5; Census Tract 210; Philadelphia County; Pennsylvania","353 SALAIGNAC ST",1955,1,2,896,230000,12.3458345879053,27.8614457831325,95.933734939759,0,22.9129662522202,80216,0,11442.7955071186,3822.17443055689,805.196150049858,1,7,28315.9465983987,"4",668.474871981479,"Roxborough",72,87577.353737449,0,0
"421010203002","Block Group 2; Census Tract 203; Philadelphia County; Pennsylvania","1427 W JEROME ST",1930,1,3,1170,218000,12.2922503417712,1.07142857142857,2.57142857142857,26.7142857142857,21.0382513661202,48667,1,1437.6929416195,435.949906953202,666.58767883501,1,5,23565.418013456,"4",442.452189127604,"Tioga",1149,9171.62372551818,23565.418013456,28.6224489795918
"421010031003","Block Group 3; Census Tract 31; Philadelphia County; Pennsylvania","1937 WATKINS ST",1925,1,3,984,78000,11.2644641056717,48.3018867924528,40.377358490566,1.50943396226415,0,63945,0,1750.93318226014,945.213734109046,1540.3952441953,1,3,9035.30070693826,"4",239.927152206137,"Point Breeze",74,0,0,72.9085083659664
"421010114005","Block Group 5; Census Tract 114; Philadelphia County; Pennsylvania","6136 W COLUMBIA AVE",1925,3,4,1973,363000,12.802158113247,15.553121577218,15.2792990142388,8.8170865279299,8.84718498659517,54703,1,3016.92697144493,1460.47937817591,1054.44355457241,1,1,24709.1838893362,"2",1542.46987927524,"Overbrook",385,12921.1312278298,24709.1838893362,137.133218725745
"421010070003","Block Group 3; Census Tract 70; Philadelphia County; Pennsylvania","2057 S CECIL ST",1920,1,3,1133,22300,10.0123419574482,3.05010893246187,7.62527233115468,18.7363834422658,10.2167182662539,72560,1,1629.71464179207,869.334372667816,692.033442035355,1,2,18480.9074018743,"3",666.96100381696,"Southwest Schuylkill",310,8881.74436471765,18480.9074018743,57.1480104992856
