"","GEOID","NAME","location","year_built.x","number_of_bathrooms.x","number_of_bedrooms.x","total_livable_area.x","sale_price.x","log_sale_price.x","BACH_PROP","WHITE_PROP","Pov_Prop","Vacancy_Rate","MEDHHINCE","near_transit","Dist_Homicide","Dist_BurgRob","Dist_Comcor","parks_400","parks_800","dist_centercity","redlining_grade","industrial_knn31","Name","crime_score","vacant_and_BurgRob","distcentercity_transit","education_and_pov","age","log_liv_area","log_crime_score","name_count","name_cv","predicted","predicted_price","actual_price","error_dollars","residuals","fitted","cooks_d","leverage","is_influential","residual"
"1","421010103001","Block Group 1; Census Tract 103; Philadelphia County; Pennsylvania","5153 HOOPES ST",1925,1,3,1180,180000,12.1007121298723,7.95228628230616,0,43.4393638170974,26.5498652291105,23490,0,1534.78788568145,383.532836300928,1082.5383713772,1,4,17762.4492873533,"4",1179.52974989864,"Mill Creek",569,10182.7451147281,0,345.44225699481,99,7.07411681619736,6.3456363608286,65,"Mill Creek",11.2469821966398,76648.2610105725,180000,103351.738989427,0.853729933232704,11.2469821966396,0.000530272907368659,0.0155634926837276,TRUE,0.853729933232588
"2","421010274021","Block Group 1; Census Tract 274.02; Philadelphia County; Pennsylvania","6062 N PHILIP ST",1953,1,3,990,84000,11.3385720778255,0,0,0,0,81438,1,3011.47261130547,793.591821261543,1497.04031205439,1,3,34869.7279406138,"1",1393.79902698027,"Olney",165,0,34869.7279406138,0,71,6.89871453432999,5.11198778835654,274,"Olney",11.6913426124046,119532.384352349,84000,35532.3843523491,-0.352770534579389,11.6913426124048,0.0000253553121791106,0.00445735592112381,FALSE,-0.352770534579147
"3","421010242001","Block Group 1; Census Tract 242; Philadelphia County; Pennsylvania","145 W QUEEN LN",1790,2,4,2346,36000,10.4912742174382,16.8646080760095,33.4916864608076,16.8646080760095,3.84615384615385,54595,1,1792.14055755454,679.219776780124,843.064249977338,1,6,28019.4792598245,"3",352.843413910856,"Germantown, Penn Knox",410,2612.38375684663,28019.4792598245,284.415005557405,234,7.76089319585102,6.01859321449623,12,"Germantown, Penn Knox",12.5783502719653,290207.154253281,36000,254207.154253281,-2.08707605452705,12.5783502719653,0.0248126328481205,0.101507557622859,TRUE,-2.08707605452704
"4","421010030022","Block Group 2; Census Tract 30.02; Philadelphia County; Pennsylvania","1620 REED ST",2019,3,4,2160,655000,13.3923905146174,24.7557003257329,28.7730727470141,18.7839305103149,8.1145584725537,53313,0,2317.89301448288,795.267898118894,1096.14546736935,0,6,7356.56027409166,"4",1118.56795016261,"Point Breeze",38,6453.24786063065,0,465.009354652747,5,7.67832635650689,3.66356164612965,497,"Point Breeze",13.3082674364422,602153.356245097,655000,52846.643754903,0.0841230781751711,13.3082674364422,0.00000116079130615746,0.00359475312343084,FALSE,0.084123078175141
"5","421010197006","Block Group 6; Census Tract 197; Philadelphia County; Pennsylvania","4257 N DARIEN ST",1940,1,3,1038,50000,10.8197782844103,6.81818181818182,0,72.7272727272727,0,30439,0,1656.06951906002,221.914627051429,2038.43081226648,2,3,24405.9410921585,"3",600.512395326462,"Hunting Park",167,0,0,495.867768595041,84,6.94601399109923,5.12396397940326,116,"Hunting Park",11.5088287878827,99591.1702846885,50000,49591.1702846885,-0.689050503472449,11.5088287878827,0.000202067123922593,0.00922188254179725,FALSE,-0.689050503472451
"6","421010330005","Block Group 5; Census Tract 330; Philadelphia County; Pennsylvania","4616 VISTA ST",1950,1,3,1260,95000,11.4616321705827,0,65.5681818181818,3.18181818181818,0,52237,0,2706.10632125598,575.251240279771,2087.89971467986,1,4,47075.6872412453,"2",937.527670915879,"Holmesburg",253,0,0,0,74,7.13966033596492,5.53733426701854,264,"Holmesburg",12.3128706826783,222541.901159911,95000.0000000001,127541.901159911,-0.851238512095628,12.3128706826783,0.000143018810314993,0.0043192079547215,FALSE,-0.851238512095629
"7","421010244003","Block Group 3; Census Tract 244; Philadelphia County; Pennsylvania","19 W ROCKLAND ST",1920,2,4,1844,30000,10.3089526606443,20.6322795341098,3.16139767054908,16.8053244592346,16.6666666666667,98484,0,2019.51461166636,695.683991854188,488.326627622989,1,9,27308.879821398,"3",486.345225765234,"Germantown, Southwest",329,11594.7331975698,0,346.732151904341,104,7.52023455647463,5.79909265446053,92,"Germantown, Southwest",12.1733358896652,193558.658393445,30000,163558.658393445,-1.86438322902085,12.1733358896651,0.00183229199962067,0.0113726781846754,TRUE,-1.86438322902094
"8","421010275002","Block Group 2; Census Tract 275; Philadelphia County; Pennsylvania","5849 N MARSHALL ST",1945,1,3,1092,20000,9.90348755253613,12.7326880119136,4.3186895011169,13.626209977662,5,60911,0,1436.60195584499,1030.73394069335,1418.89984908087,2,2,33409.1263692397,"1",697.992726982486,"Olney",232,5153.66970346674,0,173.498280430394,79,6.99668148817654,5.4510384535657,274,"Olney",11.8284509186112,137097.95078995,20000,117097.95078995,-1.9249633660751,11.8284509186112,0.000650788501168875,0.00384698298198636,TRUE,-1.92496336607507
"9","421010300004","Block Group 4; Census Tract 300; Philadelphia County; Pennsylvania","5208 DUFFIELD ST",1945,1,3,1324,23000,10.0432494949113,1.24851367419738,0,34.7800237812128,16.5680473372781,28542,1,867.38302527945,684.005024971058,1629.72331531794,0,3,35107.5858333123,"3",289.806663521642,"Frankford",363,11332.6276326566,35107.5858333123,43.4233352797542,79,7.18916773842032,5.89715386763674,212,"Frankford",11.5415177046916,102900.492158439,23000,79900.4921584392,-1.49826820978066,11.541517704692,0.000548368911661941,0.00533483188891472,TRUE,-1.49826820978026
"10","421010041011","Block Group 1; Census Tract 41.01; Philadelphia County; Pennsylvania","616 HOFFMAN ST",1925,1,3,900,90000,11.4075649493124,6.07476635514019,30.2570093457944,0,6.75675675675676,93393,0,1667.1221336433,364.019285925128,928.540518774076,3,7,10375.6554573168,"4",471.913023601718,"Greenwich",274,2459.58976976438,0,0,99,6.80350525760834,5.61677109766657,64,"Greenwich",12.2624043411915,211589.708497126,90000,121589.708497126,-0.854839391878984,12.2624043411914,0.000548911199018349,0.016052766153057,TRUE,-0.854839391879048
